Declared UDA,Reference Number,Application Type,Proposal details,Type of approval,Address of Site,Property Desc.,Decision date
"Fitzgibbon, Brisbane",DEV2008/001,Reconfiguring a Lot,Development Permit for Reconfiguring a Lot for 1 into 154 Residential Lots with New Road and Park,Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 504 on SP231982,4/12/2008
,,,Change to Approval approved 23 April 2009.,,,,
,,,Change to Approval approved 12 June 2009.,,,,
,,,Change to Approval approved 4 March 2010.,,,,
,,,Change to Approval approved 8 April 2010.,,,,
,,,Change to Approval approved 7 June 2010.,,,,
"Northshore Hamilton, Brisbane",DEV2008/002,Material Change of Use,"Multiple Residential, Retail and Commercial - - Change to Approval",Development Permit,"37A, 37B, 37C & 45 Harbour Road and 5 & 19 Hercules St, Hamilton","Lots 802, 804 & 805 on SP172618, Lot 907 on SP169072, Lot 596 on SL6381 & Lot 631 on SL801514",27/01/2009
"Northshore Hamilton, Brisbane",DEV2008/003,Material Change of Use,"Material Change of Use (Display and Sales Activities, Display Dwelling, Estate Sales Office, Indoor Sport and Recreation, Multi-unit Dwellings, Office, Restaurant/Cafes and Shops)",Development Permit,"483-485 Kingsford smith Drive and 2a, 8 and 29 Hercules Street, Hamilton","Lot 554 on SL1514, Lot 550 on SL1551, Lot 100 on SP116284, Lot 650 on SL2212 and Lot 1 on SP206759",20/02/2009
"Northshore Hamilton, Brisbane",DEV2008/004,Operational Work,Op works (Utility installation) for diversion of existing 1125mm dia stormwater line on Lot 100 on SP116284,Development Permit,"2B, 8, & 29 Hercules Street, Hamilton","Lot 100 on SP116284, Lot 650 on SL2212, Lot 1 on SP206759",18/11/2009
"Northshore Hamilton, Brisbane",DEV2008/005,Material Change of Use,"Multiple Residential, Estate Sales Office, Display Unit, Short Term Accomodation",Development Permit,"35A, 37A, 37B, 37C & 45 Harbour Road and 5 & 19 Hercules Street, Hamilton","Lots 802, 804 & 805 on SP172618, Lot 907 on SP169072, Lot 817 on SL3772, Lot 596 on SL6391, Lot 631 on SL801514 and common property on SP172640",19/02/2009
"Northshore Hamilton, Brisbane",DEV2008/006,Reconfiguring a Lot,ROL - management 2 into 2,Development Permit,"5 & 19 Hercules Street, Hamilton Q 4006",Lot 596 on SL6381 and Lot 631 on SL801514,24/04/2009
"Northshore Hamilton, Brisbane",DEV2009/007,Material Change of Use,"Display Dwelling, Estate Sales Office, Home Office, Multi-unit Dwellings, House, Office, Community Centre, Recreational Club, Restaurant and Shop - Change to Approval",Development Permit,"MacArthur Ave, Eagle Farm",Lots 100 to 114 on SP224971,27/04/2009
"Northshore Hamilton, Brisbane",DEV2009/009,Material Change of Use,Shop (not exceeding 1000m2),Development Permit,"54A Remora Road, Hamilton",Lot 601 on SP172640 & Lot 904 on SP169072 & CP of Portside Wharf Commercial,5/06/2009
"Northshore Hamilton, Brisbane",DEV2009/012,Material Change of Use,MCU - Shop and Restaurant not exceeding 1000m,Development Permit,"9 Hercules Street, Hamilton",Lot 645 on SL2184,6/07/2009
